Az ingatlan helye,"Családi ház átlagár, ezer Ft/m²",Családi ház átlagár darab,"Többlakásos társasház átlagár, ezer Ft/m²",Többlakásos társasház darab,"Lakótelepi panel átlagár, ezer Ft/m²",Lakótelepi panel darab,"Lakások összesen átlagár, ezer Ft/m²",Lakások összesen darab,"Lakások összesen relatív szórás, %",Év,Kerület
Aladár utca,,,409.0,14.0,,,409,14,17,2015,1
Alagút utca,,,376.0,3.0,,,376,3,17,2015,1
Alsóhegy utca,,,390.0,4.0,,,390,4,32,2015,1
Attila út,,,320.0,107.0,,,320,107,32,2015,1
Avar utca,,,348.0,7.0,,,348,7,33,2015,1
Batthyány utca,,,348.0,51.0,,,348,51,23,2015,1
Bem rakpart,,,427.0,5.0,,,427,5,31,2015,1
Csalogány utca,,,395.0,20.0,,,395,20,30,2015,1
Csap utca,,,348.0,11.0,,,348,11,25,2015,1
Derék utca,,,458.0,5.0,,,458,5,18,2015,1
Dezső utca,,,388.0,3.0,,,388,3,37,2015,1
Dísz tér,,,490.0,4.0,,,490,4,49,2015,1
Döbrentei utca,,,449.0,3.0,,,449,3,42,2015,1
Donáti utca,,,391.0,17.0,,,391,17,20,2015,1
Fazekas utca,,,349.0,3.0,,,349,3,25,2015,1
Fém utca,,,388.0,3.0,,,388,3,12,2015,1
Fenyő utca,,,455.0,6.0,,,455,6,37,2015,1
Fiáth János utca,,,392.0,3.0,,,392,3,10,2015,1
Fő utca,,,399.0,30.0,,,399,30,34,2015,1
Gellérthegy utca,,,378.0,24.0,,,378,24,25,2015,1
Gyorskocsi utca,,,548.0,3.0,,,548,3,5,2015,1
Győző utca,,,348.0,3.0,,,348,3,23,2015,1
Halász utca,,,423.0,5.0,,,423,5,33,2015,1
Hattyú utca,,,374.0,18.0,,,374,18,19,2015,1
Hegyalja út,,,327.0,14.0,,,327,14,24,2015,1
Hunfalvy utca,,,459.0,4.0,,,459,4,60,2015,1
Hunyadi János út,,,393.0,18.0,,,393,18,26,2015,1
Iskola utca,,,340.0,3.0,,,340,3,18,2015,1
Jégverem utca,,,342.0,4.0,,,342,4,31,2015,1
Kosciuszkó Tádé utca,,,348.0,8.0,,,348,8,23,2015,1
Krisztina körút,,,374.0,17.0,,,374,17,23,2015,1
Kuny Domokos utca,,,451.0,14.0,,,451,14,25,2015,1
Lánchíd utca,,,748.0,5.0,,,748,5,30,2015,1
Logodi utca,,,406.0,25.0,,,406,25,30,2015,1
Lovas út,,,329.0,5.0,,,329,5,48,2015,1
Mária tér,,,336.0,3.0,,,336,3,21,2015,1
Mátray utca,,,349.0,8.0,,,349,8,25,2015,1
Mészáros utca,,,393.0,21.0,,,393,21,26,2015,1
Mikó utca,,,344.0,4.0,,,344,4,16,2015,1
Naphegy tér,,,449.0,3.0,,,449,3,6,2015,1
Naphegy utca,,,430.0,13.0,,,430,13,32,2015,1
Orom utca,,,1217.0,5.0,,,1217,5,54,2015,1
Ostrom utca,,,345.0,11.0,,,345,11,25,2015,1
Pálya utca,,,483.0,4.0,,,483,4,33,2015,1
Pauler utca,,,476.0,10.0,,,476,10,35,2015,1
Piroska utca,,,412.0,3.0,,,412,3,19,2015,1
Ponty utca,,,434.0,3.0,,,434,3,25,2015,1
Róka utca,,,321.0,3.0,,,321,3,47,2015,1
Szabó Ilonka utca,,,420.0,10.0,,,420,10,62,2015,1
Szalag utca,,,431.0,6.0,,,431,6,13,2015,1
Széna tér,,,551.0,3.0,,,551,3,18,2015,1
Szilágyi Dezső tér,,,449.0,5.0,,,449,5,35,2015,1
Szirtes út,,,456.0,7.0,,,456,7,17,2015,1
Tigris utca,,,421.0,9.0,,,421,9,20,2015,1
Toldy Ferenc utca,,,391.0,15.0,,,391,15,32,2015,1
Várfok utca,,,364.0,9.0,,,364,9,29,2015,1
Vérmező út,,,376.0,10.0,,,376,10,31,2015,1
Zsolt utca,,,475.0,10.0,,,475,10,27,2015,1
együtt,,,397.0,686.0,,,397,686,40,2015,1
Ady Endre utca,,,394.0,11.0,,,389,12,28,2015,2
Alsó Törökvész út,,,576.0,3.0,,,576,3,20,2015,2
Alsó Zöldmáli út,,,351.0,5.0,,,351,5,27,2015,2
Alvinci út,,,527.0,19.0,,,527,19,26,2015,2
Apostol utca,,,493.0,3.0,,,493,3,5,2015,2
Árpád fejedelem útja,,,338.0,10.0,,,338,10,18,2015,2
Árvácska utca,,,473.0,5.0,,,473,5,26,2015,2
Bajvívó utca,,,396.0,7.0,,,396,7,17,2015,2
Baka utca,,,442.0,4.0,,,442,4,14,2015,2
Bécsi út,,,,,,,274,3,46,2015,2
Bem József utca,,,318.0,22.0,,,318,22,24,2015,2
Bem rakpart,,,472.0,8.0,,,472,8,51,2015,2
Berkenye utca,,,494.0,4.0,,,494,4,20,2015,2
Bimbó út,,,413.0,39.0,,,420,40,26,2015,2
Bogár utca,,,519.0,6.0,,,539,7,26,2015,2
Bognár utca,,,414.0,3.0,,,414,3,21,2015,2
Boróka utca,,,505.0,6.0,,,505,6,37,2015,2
Branyiszkó út,,,460.0,4.0,,,456,5,12,2015,2
Budakeszi út,,,426.0,52.0,,,429,53,26,2015,2
Buday László utca,,,369.0,12.0,,,369,12,43,2015,2
Budenz út,,,446.0,10.0,,,446,10,15,2015,2
Csalán út,,,480.0,4.0,,,480,4,20,2015,2
Csalogány utca,,,342.0,10.0,,,342,10,29,2015,2
Csejtei utca,,,544.0,7.0,,,544,7,25,2015,2
Cseppkő utca,,,523.0,3.0,,,551,4,13,2015,2
Csévi utca,,,424.0,7.0,,,424,7,35,2015,2
Endrődi Sándor utca,,,484.0,12.0,,,480,14,13,2015,2
Érmelléki utca,,,529.0,5.0,,,529,5,9,2015,2
Erőd utca,,,443.0,7.0,,,443,7,27,2015,2
Eszter utca,,,514.0,3.0,,,514,3,16,2015,2
Ezredes utca,,,383.0,10.0,,,383,10,12,2015,2
Fazekas utca,,,411.0,11.0,,,407,12,17,2015,2
Felső Zöldmáli út,,,425.0,14.0,,,423,15,14,2015,2
